Birth Rate,CO2 Emissions,Country,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Cluster Category
0.037,66.0,Sao Tome and Principe,101315400,0.118,78,0.052,0.1,0.296,66,62,0.0,0.426,0.534,0.04,147455,0.563,7400000,1800000,Cluster 1
0.018,557.0,Seychelles,703096503,0.048,403,0.012,0.1,0.106,76,66,0.6,0.258,0.664,0.078,82800,0.506,258000000,54000000,Cluster 2
0.043,653.0,Sierra Leone,1371442566,0.155,45,0.133,0.0,0.2,41,40,0.0,0.428,0.548,0.024,4712763,0.364,60000000,38000000,Cluster 1
0.023,380811.0,South Africa,168219325184,0.086,310,0.053,0.1,0.15,54,51,0.4,0.316,0.645,0.039,46409243,0.584,6674000000,3655000000,Cluster 1
0.032,1041.0,Swaziland,1854020496,0.058,98,0.082,0.0,0.146,46,46,0.1,0.43,0.539,0.031,1087929,0.223,70000000,23000000,Cluster 1
0.042,3806.0,Tanzania,11659129815,0.037,12,0.066,0.0,0.145,53,51,0.0,0.446,0.524,0.03,36760831,0.236,654000000,375000000,Cluster 1
0.045,2101.0,Zambia,4341841414,0.067,27,0.086,0.0,0.406,45,44,0.0,0.464,0.509,0.027,10894519,0.358,88000000,115000000,Cluster 1
0.014,3429.0,Armenia,2807061009,0.056,51,0.023,0.0,0.208,76,69,0.0,0.233,0.655,0.112,3036032,0.643,90000000,97000000,Cluster 2
0.025,33883.0,Bangladesh,51913661485,0.03,11,0.056,0.0,0.16,67,66,0.0,0.354,0.605,0.042,139185986,0.254,59000000,389000000,Cluster 1
0.021,5357.0,Brunei Darussalam,6557333067,0.031,575,0.008,0.2,0.055,79,75,0.5,0.295,0.675,0.03,353649,0.726,124000000,469000000,Cluster 2
0.012,4525177.0,China,1640958734582,0.048,61,0.024,0.1,0.053,75,72,0.2,0.225,0.702,0.074,1288400000,0.398,18707000000,16716000000,Cluster 2
0.012,3773.0,Georgia,3991374540,0.085,74,0.026,0.0,0.238,76,69,0.2,0.197,0.664,0.139,4328900,0.524,172000000,170000000,Cluster 2
0.024,1281914.0,India,618356467438,0.043,24,0.06,0.0,0.115,65,62,0.0,0.33,0.624,0.046,1093786762,0.286,4560000000,4385000000,Cluster 1
0.021,316792.0,Indonesia,234772458818,0.025,27,0.036,0.0,0.169,70,66,0.1,0.301,0.651,0.048,218145617,0.444,4461000000,4427000000,Cluster 1
0.009,1237429.0,Japan,4302939184964,0.08,2693,0.003,0.5,0.018,85,78,0.7,0.141,0.672,0.188,127718000,0.832,11475000000,36505000000,Cluster 2
0.01,466215.0,"Korea, Rep.",680520807982,0.052,695,0.005,0.7,0.062,81,74,0.7,0.199,0.716,0.085,47859311,0.807,7005000000,11063000000,Cluster 2
0.021,5328.0,Kyrgyz Republic,1919012781,0.054,21,0.037,0.0,0.191,72,65,0.0,0.326,0.617,0.057,5043300,0.353,62000000,35000000,Cluster 1
0.029,1129.0,Lao PDR,2023324407,0.049,18,0.075,0.0,0.305,65,62,0.0,0.418,0.545,0.037,5619069,0.251,77000000,5000000,Cluster 1
0.02,160266.0,Malaysia,110202368421,0.039,172,0.007,0.4,0.063,76,71,0.4,0.315,0.644,0.042,24890654,0.648,6799000000,3401000000,Cluster 2
0.022,598.0,Maldives,949867662,0.06,199,0.025,0.1,0.14,74,71,0.2,0.37,0.587,0.043,287594,0.313,402000000,60000000,Cluster 1
0.03,2952.0,Nepal,6330476435,0.054,14,0.052,0.0,0.074,65,63,0.0,0.399,0.559,0.041,24525527,0.146,232000000,119000000,Cluster 1
0.028,71532.0,Philippines,83908205720,0.032,33,0.029,0.0,0.095,71,64,0.3,0.377,0.59,0.033,82604681,0.471,1821000000,1649000000,Cluster 1
0.011,31133.0,Singapore,97002305536,0.036,823,0.003,0.5,0.053,82,77,0.8,0.201,0.72,0.079,4114800,1.0,3842000000,8382000000,Cluster 2
0.019,10660.0,Sri Lanka,18881765437,0.039,38,0.013,0.0,0.103,77,70,0.1,0.258,0.675,0.067,19173000,0.184,709000000,462000000,Cluster 2
0.029,2076.0,Tajikistan,1554125543,0.045,11,0.061,0.0,0.167,69,61,0.0,0.402,0.561,0.037,6529609,0.264,6200000,2100000,Cluster 1
0.013,232198.0,Thailand,142640079033,0.036,79,0.017,0.1,0.059,75,68,0.3,0.231,0.696,0.073,64488338,0.35,10456000000,3538000000,Cluster 2
0.016,4294.0,Albania,5652325082,0.062,108,0.02,0.0,0.143,79,72,0.3,0.282,0.64,0.078,3033659,0.446,537000000,507000000,Cluster 2
0.011,114836.0,Belgium,311689616253,0.1,3000,0.004,0.5,0.069,81,75,0.8,0.173,0.655,0.172,10376133,0.973,8848000000,13402000000,Cluster 2
0.009,23238.0,Bosnia and Herzegovina,8370020196,0.08,174,0.007,0.0,0.109,78,73,0.3,0.194,0.684,0.122,3895779,0.392,404000000,145000000,Cluster 2
0.009,47308.0,Bulgaria,20668176834,0.076,201,0.016,0.1,0.085,76,69,0.4,0.143,0.685,0.171,7823557,0.699,2051000000,1467000000,Cluster 2
0.009,23542.0,Croatia,34143409062,0.064,495,0.006,0.2,0.116,78,71,0.6,0.164,0.67,0.166,4440000,0.56,6513000000,709000000,Cluster 2
0.012,7748.0,Cyprus,13319544758,0.068,1235,0.005,0.3,0.069,81,76,0.6,0.209,0.686,0.105,998142,0.686,2325000000,700000000,Cluster 2
0.009,122379.0,Czech Republic,95292530753,0.071,666,0.005,0.3,0.059,79,72,1.0,0.154,0.707,0.139,10193998,0.737,4069000000,2177000000,Cluster 2
0.01,17052.0,Estonia,9845187817,0.049,352,0.007,0.5,0.055,77,66,0.8,0.161,0.676,0.163,1370720,0.69,883000000,404000000,Cluster 2
0.011,68888.0,Finland,164256207675,0.082,2572,0.003,0.7,0.041,82,75,0.9,0.177,0.668,0.155,5213014,0.826,2676000000,2954000000,Cluster 2
0.013,387591.0,France,1792215124154,0.108,3137,0.004,0.4,0.066,83,76,0.7,0.186,0.651,0.163,62242474,0.766,45990000000,32618000000,Cluster 2
0.01,95738.0,Greece,192850270290,0.089,1579,0.006,0.2,0.068,81,77,0.8,0.146,0.674,0.18,11018324,0.737,10842000000,2439000000,Cluster 2
0.009,59072.0,Hungary,83538373061,0.086,706,0.008,0.2,0.096,77,68,0.8,0.16,0.685,0.155,10129552,0.655,4119000000,2700000000,Cluster 2
0.014,2167.0,Iceland,10969898924,0.106,4020,0.003,0.8,0.12,83,80,1.0,0.225,0.658,0.117,289521,0.928,486000000,524000000,Cluster 2
0.015,43337.0,Ireland,158730360073,0.073,2918,0.005,0.3,0.028,81,76,0.9,0.208,0.681,0.111,3996521,0.599,5206000000,4832000000,Cluster 2
0.009,468349.0,Italy,1514503536381,0.082,2157,0.004,0.3,0.058,83,77,1.0,0.142,0.667,0.192,57313203,0.675,32591000000,23731000000,Cluster 2
0.009,7088.0,Latvia,11186452601,0.062,295,0.012,0.3,0.054,77,66,0.5,0.158,0.679,0.163,2287955,0.678,271000000,365000000,Cluster 2
0.009,12915.0,Lithuania,18608709857,0.065,351,0.009,0.3,0.058,78,67,0.6,0.18,0.673,0.147,3415213,0.667,700000000,476000000,Cluster 2
0.012,11309.0,"Macedonia, FYR",4756221629,0.093,212,0.013,0.2,0.16,76,71,0.4,0.208,0.684,0.108,2080866,0.579,86000000,71000000,Cluster 2
